timestamp,segment,ue,iface,rate_mbps,bytes,status,duration_ms
1774113176,32,3,uesimtun2,33,16500000,ok,10772
1774113176,32,2,uesimtun1,22,11000000,ok,10822
1774113187,33,5,uesimtun4,32,16000000,ok,9736
1774113187,33,3,uesimtun2,40,20000000,ok,10231
1774113187,33,4,uesimtun3,24,4122548,ok,10397
1774113187,33,2,uesimtun1,27,13500000,ok,10429
1774113187,33,1,uesimtun0,36,18000000,ok,10450
1774113199,34,1,uesimtun0,28,14000000,fail,12022
1774113199,34,4,uesimtun3,18,9000000,fail,12080
1774113199,34,5,uesimtun4,24,12000000,fail,12076
1774113199,34,2,uesimtun1,21,10500000,fail,12083
1774113199,34,3,uesimtun2,31,15500000,fail,12080
1774113212,35,5,uesimtun4,30,15000000,ok,11419
1774113212,35,3,uesimtun2,37,18500000,ok,11502
1774113212,35,2,uesimtun1,25,12500000,ok,11691
1774113212,35,1,uesimtun0,34,17000000,ok,11761
1774113212,35,4,uesimtun3,22,11000000,ok,11785
1774113225,36,5,uesimtun4,22,11000000,ok,10989
1774113225,36,4,uesimtun3,17,8500000,ok,11216
1774113225,36,2,uesimtun1,19,9500000,ok,11336
1774113225,36,3,uesimtun2,29,14500000,ok,11538
1774113225,36,1,uesimtun0,26,13000000,ok,11566
1774113238,37,2,uesimtun1,28,14000000,ok,11150
1774113238,37,3,uesimtun2,42,21000000,ok,11265
1774113238,37,5,uesimtun4,34,17000000,ok,11270
1774113238,37,1,uesimtun0,38,19000000,ok,11341
1774113238,37,4,uesimtun3,25,12500000,ok,11400
1774113250,38,1,uesimtun0,29,14500000,ok,9314
1774113250,38,4,uesimtun3,19,9500000,ok,9964
1774113250,38,3,uesimtun2,32,16000000,ok,9998
1774113250,38,5,uesimtun4,25,12500000,ok,10020
1774113250,38,2,uesimtun1,20,10000000,ok,10074
1774113261,39,1,uesimtun0,35,17500000,ok,11443
1774113261,39,5,uesimtun4,31,15500000,ok,11648
1774113261,39,3,uesimtun2,38,19000000,ok,11663
1774113261,39,4,uesimtun3,23,11500000,ok,11700
1774113261,39,2,uesimtun1,24,12000000,ok,11806
1774113274,40,4,uesimtun3,16,8000000,ok,10767
1774113274,40,2,uesimtun1,18,9000000,ok,10831
1774113274,40,3,uesimtun2,30,15000000,ok,10861
1774113274,40,5,uesimtun4,21,10500000,ok,10875
1774113274,40,1,uesimtun0,27,13500000,ok,10921
1774113286,41,1,uesimtun0,24,12000000,ok,11151
1774113286,41,4,uesimtun3,16,8000000,ok,11156
1774113286,41,3,uesimtun2,26,13000000,ok,11178
1774113286,41,5,uesimtun4,20,10000000,ok,11259
1774113286,41,2,uesimtun1,18,9000000,ok,11293
1774113298,42,2,uesimtun1,22,11000000,ok,10532
1774113298,42,1,uesimtun0,30,15000000,ok,10665
1774113298,42,4,uesimtun3,20,10000000,ok,10848
1774113298,42,5,uesimtun4,26,13000000,ok,10848
1774113298,42,3,uesimtun2,33,16500000,ok,10912
1774113310,43,5,uesimtun4,32,16000000,ok,9674
1774113310,43,1,uesimtun0,36,18000000,ok,9863
1774113310,43,2,uesimtun1,27,13500000,ok,10037
1774113310,43,3,uesimtun2,40,20000000,ok,10034
1774113310,43,4,uesimtun3,24,12000000,ok,10124
1774113321,44,4,uesimtun3,18,9000000,ok,10655
1774113321,44,2,uesimtun1,21,10500000,ok,10952
1774113321,44,1,uesimtun0,28,14000000,ok,10993
1774113321,44,3,uesimtun2,31,15500000,ok,10999
1774113321,44,5,uesimtun4,24,12000000,ok,11128
1774113333,45,4,uesimtun3,22,11000000,ok,7309
1774113333,45,5,uesimtun4,30,15000000,ok,7368
1774113333,45,1,uesimtun0,34,17000000,ok,7467
1774113333,45,2,uesimtun1,25,12500000,ok,7477
1774113333,45,3,uesimtun2,37,18500000,ok,7480
1774113342,46,4,uesimtun3,17,8500000,ok,6989
1774113342,46,1,uesimtun0,26,13000000,ok,7037
1774113342,46,2,uesimtun1,19,9500000,ok,7055
1774113342,46,3,uesimtun2,29,14500000,ok,7100
1774113342,46,5,uesimtun4,22,11000000,ok,7182
1774113350,47,4,uesimtun3,25,12500000,ok,7394
1774113350,47,3,uesimtun2,42,21000000,ok,7588
1774113350,47,5,uesimtun4,34,17000000,ok,7607
1774113350,47,2,uesimtun1,28,14000000,ok,7639
1774113350,47,1,uesimtun0,38,19000000,ok,7679
1774113359,48,1,uesimtun0,29,14500000,ok,6933
1774113359,48,5,uesimtun4,25,12500000,ok,7062
1774113359,48,4,uesimtun3,19,9500000,ok,7076
1774113359,48,2,uesimtun1,20,10000000,ok,7088
1774113359,48,3,uesimtun2,32,16000000,ok,7097
1774113367,49,3,uesimtun2,38,19000000,ok,7080
1774113367,49,2,uesimtun1,24,12000000,ok,7183
1774113367,49,4,uesimtun3,23,11500000,ok,7194
1774113367,49,5,uesimtun4,31,15500000,ok,7205
1774113367,49,1,uesimtun0,35,17500000,ok,7207
1774113375,50,1,uesimtun0,27,13500000,ok,7289
1774113375,50,2,uesimtun1,18,9000000,ok,7365
1774113375,50,3,uesimtun2,30,15000000,ok,7378
1774113375,50,5,uesimtun4,21,10500000,ok,7390
1774113375,50,4,uesimtun3,16,8000000,ok,7395
1774113384,51,5,uesimtun4,20,10000000,ok,7486
1774113384,51,1,uesimtun0,24,12000000,ok,7510
1774113384,51,3,uesimtun2,26,13000000,ok,7570
1774113384,51,4,uesimtun3,16,8000000,ok,7577
1774113384,51,2,uesimtun1,18,9000000,ok,7584
1774113392,52,4,uesimtun3,20,10000000,ok,7104
1774113392,52,1,uesimtun0,30,15000000,ok,7117
1774113392,52,2,uesimtun1,22,11000000,ok,7192
1774113392,52,5,uesimtun4,26,13000000,ok,7209
1774113392,52,3,uesimtun2,33,16500000,ok,7212
1774113400,53,2,uesimtun1,27,13500000,ok,7065
1774113400,53,3,uesimtun2,40,20000000,ok,7108
1774113400,53,5,uesimtun4,32,16000000,ok,7179
1774113400,53,1,uesimtun0,36,10806368,ok,7225
1774113400,53,4,uesimtun3,24,12000000,ok,7226
1774113409,54,4,uesimtun3,18,9000000,ok,6793
1774113409,54,1,uesimtun0,28,14000000,ok,6839
1774113409,54,3,uesimtun2,31,15500000,ok,6861
1774113409,54,2,uesimtun1,21,10500000,ok,6861
1774113409,54,5,uesimtun4,24,12000000,ok,6897
1774113416,55,5,uesimtun4,30,15000000,ok,7022
1774113416,55,3,uesimtun2,37,18500000,ok,7129
